CN:440 31/03/2022 19:24:48 Q:-1 ID:VALIDAÇÃO Fixture:
CN:440 31/03/2022 22:39:23 Q:-1 ID:B000151-FT Fixture:SMTB/FTMD00004
CN:440 01/04/2022 14:03:53 Q:-1 ID:B000200-FT Fixture:SMTB/FTMD00009
CN:440 04/04/2022 20:32:30 Q:-1 ID:B000375-FT Fixture:SMTB/FTMD00021
CN:440 05/04/2022 20:48:27 Q:-1 ID:B000002-FT Fixture:
CN:440 05/04/2022 20:48:35 Q:-1 ID:B000386-FT Fixture:SMTB/FTMD00002
CN:440 06/04/2022 07:28:38 Q:-1 ID: Fixture: OUT
CN:440 07/04/2022 09:00:24 Q:-2 ID:B000488-FT Fixture:SMTB/FTMD00007
CN:440 03/05/2022 11:15:43 Q:1 ID: Fixture: IN
CN:440 11/05/2022 18:41:19 Q:-1 ID:B000377-FT Fixture:
CN:440 12/05/2022 00:47:44 Q:-1 ID:B000414-FT Fixture:
CN:440 12/05/2022 09:14:05 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:440 12/05/2022 16:12:23 Q:-1 ID:B000200-FT Fixture:
CN:440 12/05/2022 18:09:22 Q:-1 ID:B000463-FT Fixture:
CN:440 12/05/2022 23:06:19 Q:-1 ID:B000465-FT Fixture:
CN:440 12/05/2022 23:06:21 Q:-1 ID:B000150-FT Fixture:
CN:440 13/05/2022 07:32:22 Q:-1 ID:B000466-FT Fixture:SMTB/FTMD00009
CN:440 13/05/2022 07:41:51 Q:1 ID: Fixture: IN
CN:440 13/05/2022 11:53:48 Q:-1 ID:B000359-FT Fixture:SMTB/FTMD00024
CN:440 13/05/2022 23:11:01 Q:-1 ID:B000465-FT Fixture:
CN:440 14/05/2022 00:36:50 Q:-1 ID:B000414-FT Fixture:
CN:440 14/05/2022 00:59:54 Q:-1 ID:B000465-FT Fixture:
CN:440 14/05/2022 08:18:54 Q:-1 ID:B000488-FT Fixture:SMTB/FTMD00004
CN:440 14/05/2022 09:25:03 Q:-1 ID:B000599-FT Fixture:
CN:440 14/05/2022 16:12:11 Q:-1 ID:B000369-FT Fixture:
CN:440 14/05/2022 16:33:47 Q:-1 ID:B000200-FT Fixture:
CN:440 14/05/2022 16:33:54 Q:-1 ID:B000200-FT Fixture:
CN:440 16/05/2022 09:40:52 Q:-1 ID:B000359-FT Fixture:SMTB/FTMD00013
CN:440 16/05/2022 11:15:45 Q:-1 ID:B000029-FT Fixture:SMTB/FTMD00007
CN:440 16/05/2022 11:29:15 Q:-1 ID:B000371-FT Fixture:
CN:440 16/05/2022 18:56:02 Q:-1 ID:B000465-FT Fixture:
CN:440 16/05/2022 19:30:29 Q:-1 ID:B000463-FT Fixture:
CN:440 17/05/2022 00:46:49 Q:-1 ID:B000369-FT Fixture:
CN:440 17/05/2022 07:40:27 Q:-1 ID:B000599-FT Fixture:
CN:440 24/05/2022 06:24:14 Q:-1 ID:B000466-FT Fixture:
CN:440 24/05/2022 09:05:23 Q:1 ID:B000359-FT Fixture:
CN:440 24/05/2022 09:06:09 Q:-1 ID: Fixture: OUT
CN:440 24/05/2022 09:06:16 Q:-1 ID: Fixture: OUT
CN:440 24/05/2022 15:06:32 Q:-1 ID:B000488-FT Fixture:
CN:440 25/05/2022 07:50:16 Q:-1 ID:B000359-FT Fixture:
CN:440 26/05/2022 23:16:44 Q:-1 ID:B000150-FT Fixture:
CN:440 28/05/2022 01:29:07 Q:-1 ID:B000086-FT Fixture:
CN:440 28/05/2022 06:43:55 Q:-1 ID:B000412-FT Fixture:
CN:440 28/05/2022 06:43:57 Q:-1 ID:B000412-FT Fixture:
CN:440 28/05/2022 06:43:58 Q:-1 ID:B000412-FT Fixture:
CN:440 28/05/2022 14:35:20 Q:-1 ID:B000488-FT Fixture:
CN:440 28/05/2022 18:08:37 Q:-1 ID:B000375-FT Fixture:
CN:440 28/05/2022 22:23:33 Q:-1 ID:B000111-FT Fixture:
CN:440 30/05/2022 07:51:58 Q:1 ID:B000359-FT Fixture:
CN:440 30/05/2022 15:03:04 Q:-1 ID:B000466-FT Fixture:
CN:440 30/05/2022 16:05:53 Q:-1 ID: Fixture: OUT
CN:440 30/05/2022 16:05:53 Q:-1 ID: Fixture: OUT
CN:440 31/05/2022 05:57:30 Q:1 ID: Fixture: IN
CN:440 31/05/2022 06:11:35 Q:-1 ID:B000029-FT Fixture:
CN:440 31/05/2022 16:14:52 Q:-1 ID:B000351-FT Fixture:
CN:440 31/05/2022 16:28:38 Q:-1 ID: Fixture: OUT
CN:440 01/06/2022 11:16:06 Q:-1 ID:VALIDACAO Fixture:
CN:440 01/06/2022 19:06:09 Q:-1 ID:B000377-FT Fixture:
CN:440 01/06/2022 22:32:26 Q:-1 ID:B000375-FT Fixture:
CN:440 02/06/2022 00:27:39 Q:-1 ID:B000369-FT Fixture:
CN:440 02/06/2022 06:41:19 Q:-1 ID:B000488-FT Fixture:
CN:440 02/06/2022 06:41:23 Q:-1 ID:B000488-FT Fixture:
CN:440 02/06/2022 09:07:05 Q:-1 ID:B000599-FT Fixture:
CN:440 02/06/2022 09:57:59 Q:-1 ID:B000343-FT Fixture:
CN:440 02/06/2022 13:42:57 Q:-1 ID:B000466-FT Fixture:
CN:440 02/06/2022 21:57:25 Q:-1 ID:B000346-FT Fixture:
CN:440 03/06/2022 06:58:48 Q:-1 ID:B000200-FT Fixture:
CN:440 03/06/2022 23:31:17 Q:-1 ID: Fixture: OUT
CN:440 06/06/2022 06:44:22 Q:-1 ID:B000607-FT Fixture:
CN:440 06/06/2022 06:57:45 Q:-1 ID:B000464-FT Fixture:
CN:440 06/06/2022 07:04:31 Q:-1 ID:B000464-FT Fixture:
CN:440 06/06/2022 07:13:00 Q:-1 ID:B000466-FT Fixture:
CN:440 20/06/2022 12:39:45 Q:-1 ID: Fixture: OUT
CN:440 21/06/2022 11:38:12 Q:-1 ID:B000663-FT Fixture:
CN:440 25/06/2022 06:34:30 Q:-1 ID: Fixture: OUT
CN:440 25/06/2022 06:34:32 Q:-1 ID: Fixture: OUT
CN:440 27/06/2022 11:45:45 Q:-1 ID: Fixture: OUT
CN:440 30/06/2022 10:34:59 Q:-1 ID: Fixture: OUT
CN:440 06/07/2022 00:23:51 Q:-1 ID:B000277-FT Fixture:MALDIVES
CN:440 08/07/2022 10:21:49 Q:-1 ID: Fixture: OUT
CN:440 08/07/2022 10:26:02 Q:1 ID: Fixture: IN
CN:440 29/07/2022 23:59:01 Q:-4 ID:B000383-FT Fixture:
CN:440 30/07/2022 05:23:24 Q:-2 ID:B000488-FT Fixture:
CN:440 30/07/2022 16:31:00 Q:-1 ID: Fixture: OUT
CN:440 01/08/2022 01:33:45 Q:-1 ID:B000412-FT Fixture:
CN:440 01/08/2022 01:33:57 Q:-1 ID:B000412-FT Fixture:
CN:440 01/08/2022 01:52:26 Q:1 ID: Fixture: IN
CN:440 01/08/2022 05:37:28 Q:-1 ID:B000450-FT Fixture:
CN:440 02/08/2022 16:15:43 Q:-15 ID: Fixture: OUT
CN:440 09/08/2022 08:11:32 Q:-1 ID: Fixture: OUT
CN:440 08/09/2022 16:11:27 Q:150 ID: Fixture: IN
CN:440 08/09/2022 16:39:46 Q:12 ID: Fixture: IN
CN:440 08/09/2022 16:56:54 Q:-18 ID: Fixture: OUT
CN:440 08/09/2022 22:30:16 Q:-1 ID:B000253-FT Fixture:
CN:440 10/09/2022 19:54:09 Q:-1 ID:B000377-FT Fixture:
CN:440 10/09/2022 20:35:49 Q:-1 ID:B000647-FT Fixture:
CN:440 10/09/2022 20:42:39 Q:-1 ID:B000349-FT Fixture:
CN:440 10/09/2022 22:45:48 Q:-2 ID:B000370-FT Fixture:
CN:440 10/09/2022 23:25:21 Q:-1 ID:B000647-FT Fixture:
CN:440 12/09/2022 16:24:39 Q:-1 ID: Fixture: OUT
CN:440 12/09/2022 22:26:06 Q:-1 ID:B000253-FT Fixture:
CN:440 13/09/2022 00:51:03 Q:-2 ID:B000349-FT Fixture:
CN:440 13/09/2022 11:08:02 Q:-1 ID:B000597-FT Fixture:
CN:440 13/09/2022 16:18:41 Q:-1 ID: Fixture: OUT
CN:440 13/09/2022 16:28:56 Q:-1 ID: Fixture: OUT
CN:440 13/09/2022 16:30:01 Q:-1 ID: Fixture: OUT
CN:440 13/09/2022 16:31:09 Q:-1 ID: Fixture: OUT
CN:440 13/09/2022 18:33:02 Q:-1 ID:B000083-FT Fixture:
CN:440 14/09/2022 06:26:28 Q:-1 ID:B000636-FT Fixture:
CN:440 14/09/2022 06:26:31 Q:-1 ID:B000636-FT Fixture:
CN:440 14/09/2022 15:32:58 Q:-1 ID:B000464-FT Fixture:
CN:440 14/09/2022 19:14:33 Q:-1 ID:B000377-FT Fixture:
CN:440 15/09/2022 22:49:11 Q:-1 ID:B000349-FT Fixture:
CN:440 30/09/2022 10:28:55 Q:-1 ID: Fixture: OUT
CN:440 01/10/2022 00:32:10 Q:-1 ID: Fixture: OUT
CN:440 01/10/2022 00:32:11 Q:-1 ID: Fixture: OUT
CN:440 01/10/2022 00:32:11 Q:-1 ID: Fixture: OUT
CN:440 01/10/2022 00:32:11 Q:-1 ID: Fixture: OUT
CN:440 01/10/2022 00:32:12 Q:-1 ID: Fixture: OUT
CN:440 01/10/2022 00:32:12 Q:-1 ID: Fixture: OUT
CN:440 01/10/2022 08:26:23 Q:-1 ID: Fixture: OUT
CN:440 01/10/2022 08:45:27 Q:-1 ID:B000200-FT Fixture:
CN:440 01/10/2022 09:52:01 Q:-1 ID:B000200-FT Fixture:
CN:440 01/10/2022 11:34:43 Q:-1 ID: Fixture: OUT
CN:440 01/10/2022 12:49:28 Q:-1 ID:B000375-FT Fixture:
CN:440 01/10/2022 16:23:51 Q:-1 ID: Fixture: OUT
CN:440 01/10/2022 18:29:18 Q:-1 ID:B000349-FT Fixture:
CN:440 03/10/2022 06:19:33 Q:-1 ID: Fixture: OUT
CN:440 03/10/2022 07:06:44 Q:1 ID: Fixture: IN
CN:440 03/10/2022 07:08:10 Q:-1 ID: Fixture: OUT
CN:440 03/10/2022 11:11:27 Q:-1 ID: Fixture: OUT
CN:440 03/10/2022 11:11:27 Q:-1 ID: Fixture: OUT
CN:440 03/10/2022 11:12:56 Q:1 ID: Fixture: IN
CN:440 03/10/2022 11:12:56 Q:1 ID: Fixture: IN
CN:440 03/10/2022 11:30:39 Q:-1 ID: Fixture: OUT
CN:440 03/10/2022 13:43:00 Q:-1 ID: Fixture: OUT
CN:440 03/10/2022 14:42:01 Q:-1 ID: Fixture: OUT
